"viento","direccion","temperatura","humedad"
6.8,85,9.95,76
8.3,76,9.15,79
9,88,9.05,77
9,70,7.25,80
8.5,90,8.65,78
9.6,73,9.15,73
6.8,73,13.35,63
1.6,63,18.25,44
3.1,246,20.85,38
6.3,259,20.55,39
5.9,245,21.85,36
6.8,285,22.55,34
7.6,253,23.65,31
8.9,273,23.85,30
9.3,267,23.45,28
10.9,249,22.85,33
10.8,250,20.85,40
9,252,18.75,47
5,254,16.75,53
3.2,291,15.35,60
1.6,126,14.45,64
2.5,73,12.55,64
2.5,87,11.85,65
4.1,94,11.05,67
5.7,77,9.55,70
8,80,9.35,68
8.3,77,10.05,66
8.6,76,8.95,69
9.1,78,8.65,70
9.4,78,9.35,68
6.2,80,14.25,55
4.1,65,19.05,44
6,261,20.15,42
7.7,273,20.35,42
6.2,264,21.25,40
7.2,280,22.05,39
8.2,272,22.85,36
8.6,264,23.75,33
9.2,263,24.45,33
9.4,255,23.15,39
10.4,247,21.65,42
9.1,249,18.75,49
6.2,250,15.95,57
2.8,266,14.95,65
2.1,6,14.35,67
2,108,14.05,68
5.2,67,11.85,72
6.4,86,11.95,73
6.6,72,10.35,75
6.8,73,10.05,76
7.9,75,9.35,76
6.6,81,10.45,76
10.3,65,8.55,77
8.4,74,9.45,77
7.7,74,14.85,62
2.4,56,19.55,47
5.9,268,19.65,48
6.1,276,20.05,47
6.5,266,21.05,44
7.3,256,21.85,42
8.8,287,22.95,41
9.3,268,23.05,41
10.1,276,23.35,42
10.4,259,21.95,46
9.4,266,19.85,52
8.1,249,17.75,58
4.1,253,15.15,69
2,303,14.35,72
1.8,80,14.05,72
1.9,108,13.05,75
1.8,94,13.35,68
4.2,75,11.35,75
2.6,92,12.25,77
3.9,65,10.55,78
7.4,81,10.15,80
8.3,78,9.85,82
7,82,9.25,84
6.6,68,10.35,81
5,67,14.75,68
0.9,18,18.45,57
6.9,266,18.15,57
6.3,268,18.85,56
7.7,269,19.85,55
7.4,271,20.55,53
9.1,274,21.65,49
9.6,272,21.95,45
11.4,247,21.25,49
9.8,248,19.55,54
8.7,264,18.75,57
8.3,248,17.85,60
5,251,15.95,67
4,292,15.85,67
2,236,14.75,71
1,168,14.95,72
2.7,281,14.85,72
3.1,233,13.95,75
1.8,266,13.25,75
1.4,117,12.85,75
2.6,100,13.05,76
6.7,87,13.05,78
5.8,89,12.95,79
5.4,72,12.75,81
4,62,15.65,71
5.7,272,14.25,73
5.6,261,15.75,67
5.9,274,16.65,63
6.7,264,18.35,56
8.2,270,19.65,50
9.1,255,20.55,47
8.8,258,21.05,45
7.6,260,21.15,45
7.1,266,20.75,46
7.1,249,20.35,48
7.7,251,18.55,56
4.9,259,16.15,67
1.5,324,15.05,72
2.7,92,14.75,73
4.5,81,14.25,71
4.5,88,13.25,74
6.1,81,11.75,73
6.6,80,12.55,72
8.6,81,11.95,73
6.8,81,11.55,74
7.9,68,12.35,73
8.4,86,11.55,75
8.4,81,11.65,74
6.5,83,15.95,63
3.8,269,18.25,55
5.6,267,18.95,52
6.4,268,19.75,50
8.3,273,20.95,47
7.3,274,21.95,44
7.9,270,23.15,40
8.4,275,24.15,36
9.1,259,23.55,38
8.7,267,22.45,40
8.4,262,21.45,44
9.2,250,19.25,47
5,260,16.75,53
2.1,286,14.75,62
0.6,270,14.25,62
3,108,13.55,64
5.2,80,11.35,66
2.3,82,13.25,62
5,90,11.05,68
9.1,76,10.25,68
