"viento","direccion","temperatura","humedad"
8.4,2,21.45,5
4.4,339,23.05,6
6.1,226,24.45,9
8.2,222,23.55,13
8.3,213,23.25,11
9.2,204,22.95,8
7.2,216,22.65,7
6.8,218,22.25,7
6.7,217,21.75,9
6.2,225,21.05,8
4.8,216,20.25,10
2.1,255,18.15,17
0.5,169,16.65,21
4.1,29,16.65,18
9.4,18,15.25,22
9.4,17,14.95,16
10.9,22,15.55,13
10.6,14,14.35,12
11.8,13,13.85,14
12.1,10,13.75,13
11.7,14,14.35,8
10.9,11,14.45,9
8.9,16,15.55,9
6.9,3,19.85,9
6.2,359,23.15,8
3,288,24.35,7
6.1,223,24.45,7
9.4,226,24.65,8
10,223,24.35,6
9.6,217,23.95,6
8.5,212,23.35,6
5.7,216,22.95,4
6.3,224,23.15,6
6.7,218,22.05,10
5.4,227,20.85,11
2.9,232,18.45,19
0.6,242,16.95,21
5.3,10,17.35,17
7,23,15.35,19
7.6,10,14.95,23
8.5,7,13.85,21
8.3,7,15.55,14
9.4,9,13.95,16
10.1,12,15.95,9
11.1,11,13.75,13
11.3,13,14.75,10
10.2,13,14.55,11
8.5,6,18.85,9
7.2,3,21.85,5
3.7,344,24.05,3
5.3,228,24.05,6
8,216,24.15,10
8.3,226,23.95,8
8.9,219,23.45,9
10,204,22.85,7
7,222,21.85,9
7.3,211,21.25,9
4.7,209,20.75,7
3.8,220,20.25,8
2.7,229,18.85,11
1.2,18,17.75,12
6.9,31,16.75,19
8.9,14,15.25,21
9.7,12,14.25,26
9.3,9,14.15,23
10,8,13.55,21
11.1,13,13.75,21
11.3,13,13.15,20
12.1,15,11.95,21
10.6,20,14.45,11
8.5,12,14.25,9
5.9,7,18.15,7
2.5,13,20.65,5
3.4,205,21.75,8
6.6,227,21.55,14
8.1,229,20.65,24
8.3,225,19.65,31
7.9,216,20.25,25
7.2,219,20.75,21
6.5,202,20.75,22
7.5,204,20.25,21
6.8,207,19.75,24
6.8,209,18.45,33
5.1,233,16.85,44
0,284,16.25,44
7.8,30,16.35,28
7.5,33,15.35,28
7.3,349,15.05,26
10.6,9,13.65,22
10.5,12,13.25,20
10.2,9,13.15,21
9.8,10,13.95,20
8.2,11,12.85,23
3.8,39,11.95,23
3.6,358,13.65,24
2.7,117,17.25,21
2,168,16.35,32
3.9,192,18.45,29
5.4,206,21.15,26
7.1,224,21.85,23
7.8,221,21.45,25
8.6,226,21.45,23
8.3,223,21.45,25
7.2,218,21.25,24
6.7,212,21.25,21
6.2,201,20.45,26
5.8,218,19.25,33
3.9,221,17.55,38
0.8,332,16.55,42
3.6,10,17.25,42
9,21,16.05,20
9.1,8,14.25,19
9.9,8,13.95,14
10.8,14,13.85,13
9.8,9,14.25,14
7.8,358,14.25,16
9,11,15.55,15
8.3,8,14.85,16
8.3,9,16.55,15
2.5,283,19.65,12
4.8,205,19.25,13
4,229,21.15,12
5,225,22.55,10
6.8,217,23.55,10
8,228,23.75,12
7.5,223,24.05,13
8.3,228,24.05,13
7.9,224,23.65,14
7.7,229,23.25,13
7,224,22.75,19
6.6,220,21.15,28
4.7,205,18.05,41
0.7,316,16.85,38
3.3,11,17.45,41
9.1,1,15.15,28
10.9,5,14.95,20
11.4,11,14.15,15
11.5,14,13.35,9
10.7,24,15.75,9
10.4,18,15.75,13
10.8,16,13.75,16
10.3,12,13.35,18
9.9,11,15.25,18
9.3,8,20.15,13
5.6,353,22.85,8
2.1,2,24.85,7
3.9,193,25.45,12
5.1,213,25.75,13
7.6,207,26.25,13
7.4,207,26.05,13
7,213,25.45,12
8.2,214,24.65,13
7.9,213,24.05,12
6.6,218,23.25,12
5.8,228,22.15,16
2.8,234,20.35,18
0.9,210,19.05,19
1.8,5,18.65,20
8.3,9,17.15,26
