,0,1,2,3,4,5,6,7,8,9,10,11
171,3.1,1.4,0.4,0.1,0.0,0.0,0.0,0.8,0.2,0.7,0.3,0.8
172,1.4,0.4,0.1,0.0,0.0,0.0,0.8,0.2,0.7,0.3,0.8,2.3
173,0.4,0.1,0.0,0.0,0.0,0.8,0.2,0.7,0.3,0.8,2.3,4.4
174,0.1,0.0,0.0,0.0,0.8,0.2,0.7,0.3,0.8,2.3,4.4,4.7
175,0.0,0.0,0.0,0.8,0.2,0.7,0.3,0.8,2.3,4.4,4.7,4.7
176,0.0,0.0,0.8,0.2,0.7,0.3,0.8,2.3,4.4,4.7,4.7,3.1
177,0.0,0.8,0.2,0.7,0.3,0.8,2.3,4.4,4.7,4.7,3.1,0.8
178,0.8,0.2,0.7,0.3,0.8,2.3,4.4,4.7,4.7,3.1,0.8,3.0
179,0.2,0.7,0.3,0.8,2.3,4.4,4.7,4.7,3.1,0.8,3.0,1.2
180,0.7,0.3,0.8,2.3,4.4,4.7,4.7,3.1,0.8,3.0,1.2,0.0
181,0.3,0.8,2.3,4.4,4.7,4.7,3.1,0.8,3.0,1.2,0.0,0.0
182,0.8,2.3,4.4,4.7,4.7,3.1,0.8,3.0,1.2,0.0,0.0,0.0
183,2.3,4.4,4.7,4.7,3.1,0.8,3.0,1.2,0.0,0.0,0.0,0.0
184,4.4,4.7,4.7,3.1,0.8,3.0,1.2,0.0,0.0,0.0,0.0,0.0
185,4.7,4.7,3.1,0.8,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
186,4.7,3.1,0.8,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,3.1,0.8,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.8,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
189,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.1
190,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.1,3.6
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.1,3.6,9.2
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.1,3.6,9.2,6.2
193,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.1,3.6,9.2,6.2,7.0
194,0.0,0.0,0.0,0.0,0.0,2.8,3.1,3.6,9.2,6.2,7.0,5.3
195,0.0,0.0,0.0,0.0,2.8,3.1,3.6,9.2,6.2,7.0,5.3,5.0
196,0.0,0.0,0.0,2.8,3.1,3.6,9.2,6.2,7.0,5.3,5.0,2.1
197,0.0,0.0,2.8,3.1,3.6,9.2,6.2,7.0,5.3,5.0,2.1,1.6
198,0.0,2.8,3.1,3.6,9.2,6.2,7.0,5.3,5.0,2.1,1.6,0.0
199,2.8,3.1,3.6,9.2,6.2,7.0,5.3,5.0,2.1,1.6,0.0,0.0
200,3.1,3.6,9.2,6.2,7.0,5.3,5.0,2.1,1.6,0.0,0.0,0.0
201,3.6,9.2,6.2,7.0,5.3,5.0,2.1,1.6,0.0,0.0,0.0,0.0
202,9.2,6.2,7.0,5.3,5.0,2.1,1.6,0.0,0.0,0.0,0.0,0.1
203,6.2,7.0,5.3,5.0,2.1,1.6,0.0,0.0,0.0,0.0,0.1,1.3
204,7.0,5.3,5.0,2.1,1.6,0.0,0.0,0.0,0.0,0.1,1.3,4.0
205,5.3,5.0,2.1,1.6,0.0,0.0,0.0,0.0,0.1,1.3,4.0,4.5
206,5.0,2.1,1.6,0.0,0.0,0.0,0.0,0.1,1.3,4.0,4.5,6.6
207,2.1,1.6,0.0,0.0,0.0,0.0,0.1,1.3,4.0,4.5,6.6,7.7
208,1.6,0.0,0.0,0.0,0.0,0.1,1.3,4.0,4.5,6.6,7.7,5.2
209,0.0,0.0,0.0,0.0,0.1,1.3,4.0,4.5,6.6,7.7,5.2,4.3
210,0.0,0.0,0.0,0.1,1.3,4.0,4.5,6.6,7.7,5.2,4.3,4.9
211,0.0,0.0,0.1,1.3,4.0,4.5,6.6,7.7,5.2,4.3,4.9,2.2
212,0.0,0.1,1.3,4.0,4.5,6.6,7.7,5.2,4.3,4.9,2.2,2.4
213,0.1,1.3,4.0,4.5,6.6,7.7,5.2,4.3,4.9,2.2,2.4,5.7
214,1.3,4.0,4.5,6.6,7.7,5.2,4.3,4.9,2.2,2.4,5.7,7.5
215,4.0,4.5,6.6,7.7,5.2,4.3,4.9,2.2,2.4,5.7,7.5,7.7
216,4.5,6.6,7.7,5.2,4.3,4.9,2.2,2.4,5.7,7.5,7.7,10.7
217,6.6,7.7,5.2,4.3,4.9,2.2,2.4,5.7,7.5,7.7,10.7,11.5
218,7.7,5.2,4.3,4.9,2.2,2.4,5.7,7.5,7.7,10.7,11.5,10.7
219,5.2,4.3,4.9,2.2,2.4,5.7,7.5,7.7,10.7,11.5,10.7,13.2
220,4.3,4.9,2.2,2.4,5.7,7.5,7.7,10.7,11.5,10.7,13.2,17.3
221,4.9,2.2,2.4,5.7,7.5,7.7,10.7,11.5,10.7,13.2,17.3,15.0
222,2.2,2.4,5.7,7.5,7.7,10.7,11.5,10.7,13.2,17.3,15.0,14.7
223,2.4,5.7,7.5,7.7,10.7,11.5,10.7,13.2,17.3,15.0,14.7,14.1
224,5.7,7.5,7.7,10.7,11.5,10.7,13.2,17.3,15.0,14.7,14.1,14.0
225,7.5,7.7,10.7,11.5,10.7,13.2,17.3,15.0,14.7,14.1,14.0,14.2
226,7.7,10.7,11.5,10.7,13.2,17.3,15.0,14.7,14.1,14.0,14.2,11.6
227,10.7,11.5,10.7,13.2,17.3,15.0,14.7,14.1,14.0,14.2,11.6,12.3
228,11.5,10.7,13.2,17.3,15.0,14.7,14.1,14.0,14.2,11.6,12.3,11.6
229,10.7,13.2,17.3,15.0,14.7,14.1,14.0,14.2,11.6,12.3,11.6,9.2
230,13.2,17.3,15.0,14.7,14.1,14.0,14.2,11.6,12.3,11.6,9.2,6.4
231,17.3,15.0,14.7,14.1,14.0,14.2,11.6,12.3,11.6,9.2,6.4,4.8
232,15.0,14.7,14.1,14.0,14.2,11.6,12.3,11.6,9.2,6.4,4.8,5.2
233,14.7,14.1,14.0,14.2,11.6,12.3,11.6,9.2,6.4,4.8,5.2,7.2
234,14.1,14.0,14.2,11.6,12.3,11.6,9.2,6.4,4.8,5.2,7.2,6.0
235,14.0,14.2,11.6,12.3,11.6,9.2,6.4,4.8,5.2,7.2,6.0,7.5
236,14.2,11.6,12.3,11.6,9.2,6.4,4.8,5.2,7.2,6.0,7.5,7.7
237,11.6,12.3,11.6,9.2,6.4,4.8,5.2,7.2,6.0,7.5,7.7,8.5
238,12.3,11.6,9.2,6.4,4.8,5.2,7.2,6.0,7.5,7.7,8.5,11.9
239,11.6,9.2,6.4,4.8,5.2,7.2,6.0,7.5,7.7,8.5,11.9,8.8
240,9.2,6.4,4.8,5.2,7.2,6.0,7.5,7.7,8.5,11.9,8.8,11.5
241,6.4,4.8,5.2,7.2,6.0,7.5,7.7,8.5,11.9,8.8,11.5,10.5
242,4.8,5.2,7.2,6.0,7.5,7.7,8.5,11.9,8.8,11.5,10.5,11.8
243,5.2,7.2,6.0,7.5,7.7,8.5,11.9,8.8,11.5,10.5,11.8,12.2
244,7.2,6.0,7.5,7.7,8.5,11.9,8.8,11.5,10.5,11.8,12.2,14.0
245,6.0,7.5,7.7,8.5,11.9,8.8,11.5,10.5,11.8,12.2,14.0,15.0
246,7.5,7.7,8.5,11.9,8.8,11.5,10.5,11.8,12.2,14.0,15.0,15.2
247,7.7,8.5,11.9,8.8,11.5,10.5,11.8,12.2,14.0,15.0,15.2,11.1
248,8.5,11.9,8.8,11.5,10.5,11.8,12.2,14.0,15.0,15.2,11.1,9.7
249,11.9,8.8,11.5,10.5,11.8,12.2,14.0,15.0,15.2,11.1,9.7,9.9
250,8.8,11.5,10.5,11.8,12.2,14.0,15.0,15.2,11.1,9.7,9.9,7.6
251,11.5,10.5,11.8,12.2,14.0,15.0,15.2,11.1,9.7,9.9,7.6,12.0
252,10.5,11.8,12.2,14.0,15.0,15.2,11.1,9.7,9.9,7.6,12.0,12.4
253,11.8,12.2,14.0,15.0,15.2,11.1,9.7,9.9,7.6,12.0,12.4,6.2
254,12.2,14.0,15.0,15.2,11.1,9.7,9.9,7.6,12.0,12.4,6.2,8.6
255,14.0,15.0,15.2,11.1,9.7,9.9,7.6,12.0,12.4,6.2,8.6,7.4
256,15.0,15.2,11.1,9.7,9.9,7.6,12.0,12.4,6.2,8.6,7.4,4.8
257,15.2,11.1,9.7,9.9,7.6,12.0,12.4,6.2,8.6,7.4,4.8,6.0
258,11.1,9.7,9.9,7.6,12.0,12.4,6.2,8.6,7.4,4.8,6.0,4.9
259,9.7,9.9,7.6,12.0,12.4,6.2,8.6,7.4,4.8,6.0,4.9,3.1
260,9.9,7.6,12.0,12.4,6.2,8.6,7.4,4.8,6.0,4.9,3.1,6.4
261,7.6,12.0,12.4,6.2,8.6,7.4,4.8,6.0,4.9,3.1,6.4,9.9
262,12.0,12.4,6.2,8.6,7.4,4.8,6.0,4.9,3.1,6.4,9.9,12.2
